src_ip,dst_ip,src_port,dst_port,protocol
10.11.26.183,13.107.5.93,53315,443,TCP
13.107.5.93,10.11.26.183,443,53315,TCP
10.11.26.183,13.107.246.57,53317,443,TCP
13.107.246.57,10.11.26.183,443,53317,TCP
10.11.26.183,10.11.26.3,53318,139,TCP
10.11.26.3,10.11.26.183,139,53318,TCP
10.11.26.183,10.11.26.3,53319,389,TCP
10.11.26.3,10.11.26.183,389,53319,TCP
10.11.26.183,10.11.26.3,53320,389,TCP
10.11.26.3,10.11.26.183,389,53320,TCP
10.11.26.183,13.107.21.239,53321,443,TCP
10.11.26.183,213.246.109.5,53322,443,TCP
13.107.21.239,10.11.26.183,443,53321,TCP
213.246.109.5,10.11.26.183,443,53322,TCP
10.11.26.183,52.8.34.0,53325,443,TCP
52.8.34.0,10.11.26.183,443,53325,TCP
10.11.26.183,193.42.38.139,53326,443,TCP
10.11.26.183,193.42.38.139,53327,443,TCP
193.42.38.139,10.11.26.183,443,53326,TCP
193.42.38.139,10.11.26.183,443,53327,TCP
10.11.26.183,142.251.186.95,53328,443,TCP
10.11.26.183,142.250.138.94,53329,443,TCP
10.11.26.183,142.250.138.94,53330,443,TCP
10.11.26.183,142.250.138.94,53331,443,TCP
142.251.186.95,10.11.26.183,443,53328,TCP
142.250.138.94,10.11.26.183,443,53329,TCP
10.11.26.183,142.251.186.147,53332,443,TCP
10.11.26.183,142.251.186.147,53333,443,TCP
142.250.138.94,10.11.26.183,443,53330,TCP
142.250.138.94,10.11.26.183,443,53331,TCP
142.251.186.147,10.11.26.183,443,53332,TCP
142.251.186.147,10.11.26.183,443,53333,TCP
10.11.26.183,142.250.113.120,53334,443,TCP
10.11.26.183,142.250.115.95,53335,443,TCP
142.250.113.120,10.11.26.183,443,53334,TCP
142.250.115.95,10.11.26.183,443,53335,TCP
10.11.26.183,142.250.115.95,53336,443,TCP
142.250.115.95,10.11.26.183,443,53336,TCP
10.11.26.183,193.42.38.139,53337,443,TCP
10.11.26.183,204.79.197.239,53338,443,TCP
10.11.26.183,13.56.30.207,53339,443,TCP
204.79.197.239,10.11.26.183,443,53338,TCP
193.42.38.139,10.11.26.183,443,53337,TCP
13.56.30.207,10.11.26.183,443,53339,TCP
10.11.26.183,18.160.156.61,53340,443,TCP
10.11.26.183,18.160.156.103,53341,443,TCP
18.160.156.61,10.11.26.183,443,53340,TCP
18.160.156.103,10.11.26.183,443,53341,TCP
10.11.26.183,13.107.21.239,53342,443,TCP
10.11.26.183,142.251.186.95,53343,443,TCP
142.251.186.95,10.11.26.183,443,53343,TCP
10.11.26.183,142.250.113.94,53344,443,TCP
13.107.21.239,10.11.26.183,443,53342,TCP
142.250.113.94,10.11.26.183,443,53344,TCP
10.11.26.183,142.250.138.94,53345,443,TCP
142.250.138.94,10.11.26.183,443,53345,TCP
10.11.26.183,193.42.38.139,53346,443,TCP
10.11.26.183,193.42.38.139,53347,443,TCP
10.11.26.183,193.42.38.139,53348,443,TCP
10.11.26.183,193.42.38.139,53349,443,TCP
10.11.26.183,151.101.66.137,53350,443,TCP
193.42.38.139,10.11.26.183,443,53347,TCP
151.101.66.137,10.11.26.183,443,53350,TCP
193.42.38.139,10.11.26.183,443,53346,TCP
193.42.38.139,10.11.26.183,443,53348,TCP
193.42.38.139,10.11.26.183,443,53349,TCP
10.11.26.183,104.117.244.96,53351,443,TCP
104.117.244.96,10.11.26.183,443,53351,TCP
10.11.26.183,204.79.197.239,53353,443,TCP
204.79.197.239,10.11.26.183,443,53353,TCP
10.11.26.183,204.79.197.239,53354,443,TCP
204.79.197.239,10.11.26.183,443,53354,TCP
10.11.26.183,213.246.109.5,53356,443,TCP
213.246.109.5,10.11.26.183,443,53356,TCP
10.11.26.183,10.11.26.3,53357,445,TCP
10.11.26.3,10.11.26.183,445,53357,TCP
10.11.26.183,40.118.171.167,53358,443,TCP
40.118.171.167,10.11.26.183,443,53358,TCP
10.11.26.183,10.11.26.3,53359,139,TCP
10.11.26.3,10.11.26.183,139,53359,TCP
10.11.26.183,193.42.38.139,53360,443,TCP
193.42.38.139,10.11.26.183,443,53360,TCP
10.11.26.183,104.117.247.99,53361,80,TCP
104.117.247.99,10.11.26.183,80,53361,TCP
10.11.26.183,194.180.191.64,53362,443,TCP
10.11.26.183,104.26.1.231,53363,80,TCP
104.26.1.231,10.11.26.183,80,53363,TCP
194.180.191.64,10.11.26.183,443,53362,TCP
10.11.26.183,52.168.112.67,53365,443,TCP
52.168.112.67,10.11.26.183,443,53365,TCP
10.11.26.183,10.11.26.3,53366,135,TCP
10.11.26.3,10.11.26.183,135,53366,TCP
10.11.26.183,10.11.26.3,53367,49671,TCP
10.11.26.3,10.11.26.183,49671,53367,TCP
10.11.26.183,10.11.26.3,53368,389,TCP
10.11.26.3,10.11.26.183,389,53368,TCP
10.11.26.183,10.11.26.3,53369,389,TCP
10.11.26.3,10.11.26.183,389,53369,TCP
10.11.26.183,52.113.194.132,53370,443,TCP
52.113.194.132,10.11.26.183,443,53370,TCP
10.11.26.183,10.11.26.3,53372,139,TCP
10.11.26.3,10.11.26.183,139,53372,TCP
10.11.26.183,10.11.26.3,53374,139,TCP
10.11.26.3,10.11.26.183,139,53374,TCP
10.11.26.183,204.79.197.203,53376,443,TCP
204.79.197.203,10.11.26.183,443,53376,TCP
10.11.26.183,204.79.197.203,53377,443,TCP
204.79.197.203,10.11.26.183,443,53377,TCP
10.11.26.183,104.117.247.162,53378,443,TCP
104.117.247.162,10.11.26.183,443,53378,TCP
10.11.26.183,204.79.197.203,53379,443,TCP
204.79.197.203,10.11.26.183,443,53379,TCP
10.11.26.183,204.79.197.203,53380,443,TCP
204.79.197.203,10.11.26.183,443,53380,TCP
10.11.26.183,10.11.26.3,53382,139,TCP
10.11.26.3,10.11.26.183,139,53382,TCP
10.11.26.183,10.11.26.3,53387,389,TCP
10.11.26.3,10.11.26.183,389,53387,TCP
10.11.26.183,10.11.26.3,53388,88,TCP
10.11.26.3,10.11.26.183,88,53388,TCP
10.11.26.183,10.11.26.3,53389,389,TCP
10.11.26.3,10.11.26.183,389,53389,TCP
10.11.26.183,20.96.153.111,53390,443,TCP
20.96.153.111,10.11.26.183,443,53390,TCP
10.11.26.183,10.11.26.3,53395,389,TCP
10.11.26.3,10.11.26.183,389,53395,TCP
10.11.26.183,10.11.26.3,53396,389,TCP
10.11.26.3,10.11.26.183,389,53396,TCP
10.11.26.183,52.113.194.132,53400,443,TCP
52.113.194.132,10.11.26.183,443,53400,TCP
10.11.26.183,20.189.173.6,53411,443,TCP
20.189.173.6,10.11.26.183,443,53411,TCP
10.11.26.183,20.99.184.37,53412,443,TCP
10.11.26.183,23.204.171.61,53413,443,TCP
23.204.171.61,10.11.26.183,443,53413,TCP
20.99.184.37,10.11.26.183,443,53412,TCP
10.11.26.183,52.165.164.15,53414,443,TCP
52.165.164.15,10.11.26.183,443,53414,TCP
10.11.26.183,20.42.73.28,53417,443,TCP
20.42.73.28,10.11.26.183,443,53417,TCP
10.11.26.183,10.11.26.3,53419,135,TCP
10.11.26.3,10.11.26.183,135,53419,TCP
10.11.26.183,10.11.26.3,53420,49671,TCP
10.11.26.3,10.11.26.183,49671,53420,TCP
10.11.26.183,52.113.194.132,53421,443,TCP
52.113.194.132,10.11.26.183,443,53421,TCP
10.11.26.183,23.53.127.105,53422,80,TCP
23.53.127.105,10.11.26.183,80,53422,TCP
10.11.26.183,23.201.68.167,53423,443,TCP
23.201.68.167,10.11.26.183,443,53423,TCP
10.11.26.183,20.189.173.23,53424,443,TCP
20.189.173.23,10.11.26.183,443,53424,TCP
10.11.26.183,20.189.173.23,53425,443,TCP
20.189.173.23,10.11.26.183,443,53425,TCP
10.11.26.183,20.189.173.26,53427,443,TCP
20.189.173.26,10.11.26.183,443,53427,TCP
10.11.26.183,52.113.194.132,53428,443,TCP
10.11.26.183,52.113.194.132,53429,443,TCP
52.113.194.132,10.11.26.183,443,53428,TCP
52.113.194.132,10.11.26.183,443,53429,TCP
10.11.26.183,52.113.194.132,53430,443,TCP
10.11.26.183,52.113.194.132,53431,443,TCP
10.11.26.183,52.113.194.132,53432,443,TCP
10.11.26.183,52.113.194.132,53433,443,TCP
52.113.194.132,10.11.26.183,443,53431,TCP
52.113.194.132,10.11.26.183,443,53432,TCP
52.113.194.132,10.11.26.183,443,53430,TCP
52.113.194.132,10.11.26.183,443,53433,TCP
10.11.26.183,52.109.0.136,53434,443,TCP
52.109.0.136,10.11.26.183,443,53434,TCP
10.11.26.183,173.222.49.101,53437,443,TCP
10.11.26.183,173.222.49.101,53436,443,TCP
173.222.49.101,10.11.26.183,443,53437,TCP
173.222.49.101,10.11.26.183,443,53436,TCP
10.11.26.183,173.222.49.101,53438,443,TCP
173.222.49.101,10.11.26.183,443,53438,TCP
10.11.26.183,173.222.49.101,53439,443,TCP
173.222.49.101,10.11.26.183,443,53439,TCP
10.11.26.183,173.222.49.101,53440,443,TCP
173.222.49.101,10.11.26.183,443,53440,TCP
10.11.26.183,10.11.26.3,53442,445,TCP
10.11.26.3,10.11.26.183,445,53442,TCP
10.11.26.183,204.79.197.203,53443,443,TCP
204.79.197.203,10.11.26.183,443,53443,TCP
10.11.26.183,20.189.173.23,53444,443,TCP
20.189.173.23,10.11.26.183,443,53444,TCP
10.11.26.183,20.189.173.16,53445,443,TCP
20.189.173.16,10.11.26.183,443,53445,TCP
10.11.26.183,20.42.73.25,53459,443,TCP
20.42.73.25,10.11.26.183,443,53459,TCP
10.11.26.183,10.11.26.3,53462,445,TCP
10.11.26.3,10.11.26.183,445,53462,TCP
10.11.26.183,52.113.194.132,53466,443,TCP
52.113.194.132,10.11.26.183,443,53466,TCP
10.11.26.183,20.189.173.26,53481,443,TCP
20.189.173.26,10.11.26.183,443,53481,TCP
10.11.26.183,10.11.26.3,53482,445,TCP
10.11.26.3,10.11.26.183,445,53482,TCP
10.11.26.183,23.53.127.200,53483,80,TCP
23.53.127.200,10.11.26.183,80,53483,TCP
10.11.26.183,10.11.26.3,53493,389,TCP
10.11.26.3,10.11.26.183,389,53493,TCP
10.11.26.183,10.11.26.3,53494,135,TCP
10.11.26.3,10.11.26.183,135,53494,TCP
10.11.26.183,10.11.26.3,53495,49671,TCP
10.11.26.3,10.11.26.183,49671,53495,TCP
10.11.26.183,10.11.26.3,53496,389,TCP
10.11.26.3,10.11.26.183,389,53496,TCP
10.11.26.183,10.11.26.3,53497,445,TCP
10.11.26.3,10.11.26.183,445,53497,TCP
10.11.26.183,194.180.191.64,53500,443,TCP
194.180.191.64,10.11.26.183,443,53500,TCP
10.11.26.183,20.7.1.246,53506,443,TCP
20.7.1.246,10.11.26.183,443,53506,TCP
