src_ip,dst_ip,src_port,dst_port,protocol
67.217.228.199,10.6.13.133,443,52495,TCP
10.6.13.133,13.107.246.57,52496,443,TCP
13.107.246.57,10.6.13.133,443,52496,TCP
10.6.13.3,10.6.13.133,445,52423,TCP
10.6.13.133,10.6.13.3,52423,445,TCP
10.6.13.133,204.79.197.222,52497,443,TCP
204.79.197.222,10.6.13.133,443,52497,TCP
10.6.13.133,150.171.73.254,52498,443,TCP
150.171.73.254,10.6.13.133,443,52498,TCP
10.6.13.133,52.113.196.254,52499,443,TCP
52.113.196.254,10.6.13.133,443,52499,TCP
10.6.13.133,191.232.215.149,52500,443,TCP
191.232.215.149,10.6.13.133,443,52500,TCP
10.6.13.133,172.202.65.254,52501,443,TCP
172.202.65.254,10.6.13.133,443,52501,TCP
10.6.13.133,13.107.42.10,52502,443,TCP
13.107.42.10,10.6.13.133,443,52502,TCP
10.6.13.133,13.107.18.254,52503,443,TCP
13.107.18.254,10.6.13.133,443,52503,TCP
10.6.13.133,10.6.13.3,52504,135,TCP
10.6.13.3,10.6.13.133,135,52504,TCP
10.6.13.133,10.6.13.3,52505,49669,TCP
10.6.13.3,10.6.13.133,49669,52505,TCP
10.6.13.133,10.6.13.3,52506,389,TCP
10.6.13.3,10.6.13.133,389,52506,TCP
10.6.13.133,10.6.13.3,52507,389,TCP
10.6.13.3,10.6.13.133,389,52507,TCP
10.6.13.133,150.171.27.11,52508,443,TCP
150.171.27.11,10.6.13.133,443,52508,TCP
10.6.13.133,10.6.13.129,52509,5357,TCP
10.6.13.129,10.6.13.133,5357,52509,TCP
10.6.13.133,13.107.246.57,52510,443,TCP
13.107.246.57,10.6.13.133,443,52510,TCP
10.6.13.133,150.171.28.11,52511,443,TCP
150.171.28.11,10.6.13.133,443,52511,TCP
10.6.13.133,20.189.173.6,52512,443,TCP
20.189.173.6,10.6.13.133,443,52512,TCP
10.6.13.133,20.190.135.6,52513,443,TCP
20.190.135.6,10.6.13.133,443,52513,TCP
10.6.13.133,172.67.146.241,52514,443,TCP
172.67.146.241,10.6.13.133,443,52514,TCP
10.6.13.133,104.21.24.186,52515,80,TCP
104.21.24.186,10.6.13.133,80,52515,TCP
10.6.13.133,104.21.112.1,52516,80,TCP
104.21.112.1,10.6.13.133,80,52516,TCP
10.6.13.133,23.96.124.68,52517,443,TCP
23.96.124.68,10.6.13.133,443,52517,TCP
10.6.13.133,13.107.42.16,52518,443,TCP
10.6.13.133,23.212.185.87,52519,443,TCP
10.6.13.133,23.212.185.87,52520,443,TCP
13.107.42.16,10.6.13.133,443,52518,TCP
23.212.185.87,10.6.13.133,443,52519,TCP
23.212.185.87,10.6.13.133,443,52520,TCP
10.6.13.133,204.79.197.203,52521,443,TCP
204.79.197.203,10.6.13.133,443,52521,TCP
10.6.13.133,150.171.27.12,52522,443,TCP
150.171.27.12,10.6.13.133,443,52522,TCP
10.6.13.133,150.171.27.12,52523,443,TCP
150.171.27.12,10.6.13.133,443,52523,TCP
10.6.13.133,204.79.197.203,52524,443,TCP
204.79.197.203,10.6.13.133,443,52524,TCP
10.6.13.133,13.107.42.16,52525,443,TCP
13.107.42.16,10.6.13.133,443,52525,TCP
10.6.13.133,23.198.7.168,52526,443,TCP
23.198.7.168,10.6.13.133,443,52526,TCP
10.6.13.133,83.137.149.15,52527,443,TCP
83.137.149.15,10.6.13.133,443,52527,TCP
10.6.13.133,23.96.124.68,52528,443,TCP
23.96.124.68,10.6.13.133,443,52528,TCP
10.6.13.133,23.96.124.68,52529,443,TCP
23.96.124.68,10.6.13.133,443,52529,TCP
10.6.13.133,150.171.28.11,52530,443,TCP
150.171.28.11,10.6.13.133,443,52530,TCP
10.6.13.133,104.21.16.1,52531,80,TCP
104.21.16.1,10.6.13.133,80,52531,TCP
10.6.13.133,104.21.16.1,52532,80,TCP
104.21.16.1,10.6.13.133,80,52532,TCP
10.6.13.133,104.21.16.1,52533,80,TCP
104.21.16.1,10.6.13.133,80,52533,TCP
10.6.13.133,104.16.230.132,52534,80,TCP
104.16.230.132,10.6.13.133,80,52534,TCP
10.6.13.133,10.6.13.3,52535,135,TCP
10.6.13.3,10.6.13.133,135,52535,TCP
10.6.13.133,10.6.13.3,52536,49669,TCP
10.6.13.3,10.6.13.133,49669,52536,TCP
10.6.13.133,10.6.13.3,52537,389,TCP
10.6.13.3,10.6.13.133,389,52537,TCP
10.6.13.133,10.6.13.3,52538,88,TCP
10.6.13.3,10.6.13.133,88,52538,TCP
10.6.13.133,10.6.13.3,52539,389,TCP
10.6.13.3,10.6.13.133,389,52539,TCP
10.6.13.133,104.21.16.1,52540,80,TCP
104.21.16.1,10.6.13.133,80,52540,TCP
10.6.13.133,104.21.16.1,52541,80,TCP
104.21.16.1,10.6.13.133,80,52541,TCP
10.6.13.133,104.16.230.132,52542,80,TCP
104.16.230.132,10.6.13.133,80,52542,TCP
10.6.13.133,104.21.16.1,52543,80,TCP
104.21.16.1,10.6.13.133,80,52543,TCP
10.6.13.133,104.16.230.132,52544,80,TCP
104.16.230.132,10.6.13.133,80,52544,TCP
10.6.13.133,10.6.13.3,52545,389,TCP
10.6.13.3,10.6.13.133,389,52545,TCP
10.6.13.133,10.6.13.3,52546,389,TCP
10.6.13.3,10.6.13.133,389,52546,TCP
10.6.13.133,10.6.13.3,52547,135,TCP
10.6.13.3,10.6.13.133,135,52547,TCP
10.6.13.133,10.6.13.3,52548,49669,TCP
10.6.13.3,10.6.13.133,49669,52548,TCP
10.6.13.133,10.6.13.3,52549,389,TCP
10.6.13.3,10.6.13.133,389,52549,TCP
10.6.13.133,10.6.13.3,52550,389,TCP
10.6.13.3,10.6.13.133,389,52550,TCP
10.6.13.133,20.190.157.13,52551,443,TCP
10.6.13.133,23.96.180.189,52552,443,TCP
20.190.157.13,10.6.13.133,443,52551,TCP
23.96.180.189,10.6.13.133,443,52552,TCP
10.6.13.133,52.140.118.28,52553,443,TCP
52.140.118.28,10.6.13.133,443,52553,TCP
10.6.13.133,104.21.16.1,52554,80,TCP
104.21.16.1,10.6.13.133,80,52554,TCP
10.6.13.133,104.21.16.1,52555,80,TCP
104.21.16.1,10.6.13.133,80,52555,TCP
10.6.13.133,104.21.16.1,52556,80,TCP
104.21.16.1,10.6.13.133,80,52556,TCP
10.6.13.133,104.21.16.1,52557,80,TCP
104.21.16.1,10.6.13.133,80,52557,TCP
10.6.13.133,13.74.187.43,52558,443,TCP
13.74.187.43,10.6.13.133,443,52558,TCP
10.6.13.133,173.222.52.33,52559,443,TCP
173.222.52.33,10.6.13.133,443,52559,TCP
10.6.13.133,104.16.230.132,52560,80,TCP
104.16.230.132,10.6.13.133,80,52560,TCP
10.6.13.133,104.16.230.132,52561,80,TCP
104.16.230.132,10.6.13.133,80,52561,TCP
10.6.13.133,104.21.16.1,52562,80,TCP
104.21.16.1,10.6.13.133,80,52562,TCP
10.6.13.133,104.21.16.1,52563,80,TCP
104.21.16.1,10.6.13.133,80,52563,TCP
10.6.13.133,10.6.13.3,52564,135,TCP
10.6.13.3,10.6.13.133,135,52564,TCP
10.6.13.133,10.6.13.3,52565,49669,TCP
10.6.13.3,10.6.13.133,49669,52565,TCP
10.6.13.133,10.6.13.3,52566,389,TCP
10.6.13.3,10.6.13.133,389,52566,TCP
10.6.13.133,10.6.13.3,52567,389,TCP
10.6.13.3,10.6.13.133,389,52567,TCP
10.6.13.133,40.126.29.11,52568,443,TCP
40.126.29.11,10.6.13.133,443,52568,TCP
10.6.13.133,20.50.80.213,52569,443,TCP
20.50.80.213,10.6.13.133,443,52569,TCP
10.6.13.133,104.21.112.1,52570,80,TCP
104.21.112.1,10.6.13.133,80,52570,TCP
10.6.13.133,23.192.223.240,52571,80,TCP
23.192.223.240,10.6.13.133,80,52571,TCP
10.6.13.133,104.21.16.1,52572,80,TCP
104.21.16.1,10.6.13.133,80,52572,TCP
10.6.13.133,104.21.112.1,52573,80,TCP
104.21.112.1,10.6.13.133,80,52573,TCP
10.6.13.133,104.16.230.132,52574,80,TCP
104.16.230.132,10.6.13.133,80,52574,TCP
10.6.13.133,104.21.112.1,52575,80,TCP
104.21.112.1,10.6.13.133,80,52575,TCP
10.6.13.133,104.21.16.1,52576,80,TCP
104.21.16.1,10.6.13.133,80,52576,TCP
10.6.13.133,10.6.13.3,52577,135,TCP
10.6.13.3,10.6.13.133,135,52577,TCP
10.6.13.133,10.6.13.3,52578,49669,TCP
10.6.13.3,10.6.13.133,49669,52578,TCP
10.6.13.133,10.6.13.3,52579,389,TCP
10.6.13.3,10.6.13.133,389,52579,TCP
10.6.13.133,10.6.13.3,52580,389,TCP
10.6.13.3,10.6.13.133,389,52580,TCP
10.6.13.133,20.190.157.14,52581,443,TCP
20.190.157.14,10.6.13.133,443,52581,TCP
10.6.13.133,104.21.112.1,52582,80,TCP
104.21.112.1,10.6.13.133,80,52582,TCP
10.6.13.133,10.6.13.3,52583,445,TCP
10.6.13.3,10.6.13.133,445,52583,TCP
10.6.13.133,104.21.112.1,52584,80,TCP
104.21.112.1,10.6.13.133,80,52584,TCP
10.6.13.133,104.21.112.1,52585,80,TCP
104.21.112.1,10.6.13.133,80,52585,TCP
10.6.13.133,104.21.80.1,52586,80,TCP
104.21.80.1,10.6.13.133,80,52586,TCP
10.6.13.133,104.16.231.132,52587,80,TCP
104.16.231.132,10.6.13.133,80,52587,TCP
10.6.13.133,23.212.185.87,52588,443,TCP
23.212.185.87,10.6.13.133,443,52588,TCP
10.6.13.133,104.21.80.1,52589,80,TCP
104.21.80.1,10.6.13.133,80,52589,TCP
10.6.13.133,104.21.80.1,52590,80,TCP
104.21.80.1,10.6.13.133,80,52590,TCP
10.6.13.133,104.21.80.1,52591,80,TCP
104.21.80.1,10.6.13.133,80,52591,TCP
10.6.13.133,104.21.80.1,52592,80,TCP
104.21.80.1,10.6.13.133,80,52592,TCP
10.6.13.133,104.21.80.1,52593,80,TCP
104.21.80.1,10.6.13.133,80,52593,TCP
10.6.13.133,40.69.76.172,52594,443,TCP
40.69.76.172,10.6.13.133,443,52594,TCP
10.6.13.133,173.222.52.33,52595,443,TCP
173.222.52.33,10.6.13.133,443,52595,TCP
10.6.13.133,104.21.80.1,52596,80,TCP
104.21.80.1,10.6.13.133,80,52596,TCP
10.6.13.133,104.16.231.132,52597,80,TCP
104.16.231.132,10.6.13.133,80,52597,TCP
10.6.13.133,52.123.129.14,52598,443,TCP
52.123.129.14,10.6.13.133,443,52598,TCP
10.6.13.133,104.21.80.1,52599,80,TCP
104.21.80.1,10.6.13.133,80,52599,TCP
10.6.13.133,40.69.76.172,52600,443,TCP
40.69.76.172,10.6.13.133,443,52600,TCP
10.6.13.133,173.222.52.33,52601,443,TCP
173.222.52.33,10.6.13.133,443,52601,TCP
10.6.13.133,104.16.231.132,52602,80,TCP
104.16.231.132,10.6.13.133,80,52602,TCP
10.6.13.133,104.21.80.1,52603,80,TCP
104.21.80.1,10.6.13.133,80,52603,TCP
10.6.13.133,104.16.231.132,52604,80,TCP
104.16.231.132,10.6.13.133,80,52604,TCP
10.6.13.133,104.21.64.1,52605,80,TCP
104.21.64.1,10.6.13.133,80,52605,TCP
10.6.13.133,104.21.64.1,52606,80,TCP
104.21.64.1,10.6.13.133,80,52606,TCP
10.6.13.133,104.21.80.1,52607,80,TCP
104.21.80.1,10.6.13.133,80,52607,TCP
10.6.13.133,104.16.231.132,52608,80,TCP
104.16.231.132,10.6.13.133,80,52608,TCP
10.6.13.133,104.21.80.1,52609,80,TCP
104.21.80.1,10.6.13.133,80,52609,TCP
10.6.13.133,104.21.80.1,52610,80,TCP
104.21.80.1,10.6.13.133,80,52610,TCP
10.6.13.133,104.16.231.132,52611,80,TCP
104.16.231.132,10.6.13.133,80,52611,TCP
10.6.13.133,104.21.80.1,52612,80,TCP
104.21.80.1,10.6.13.133,80,52612,TCP
10.6.13.133,104.21.80.1,52613,80,TCP
104.21.80.1,10.6.13.133,80,52613,TCP
10.6.13.133,104.16.230.132,52614,80,TCP
104.16.230.132,10.6.13.133,80,52614,TCP
10.6.13.133,104.21.80.1,52615,80,TCP
104.21.80.1,10.6.13.133,80,52615,TCP
10.6.13.133,104.21.112.1,52616,80,TCP
104.21.112.1,10.6.13.133,80,52616,TCP
10.6.13.133,104.21.112.1,52617,80,TCP
104.21.112.1,10.6.13.133,80,52617,TCP
10.6.13.133,104.16.230.132,52618,80,TCP
104.16.230.132,10.6.13.133,80,52618,TCP
10.6.13.133,10.6.13.3,52619,135,TCP
10.6.13.3,10.6.13.133,135,52619,TCP
10.6.13.133,10.6.13.3,52620,49669,TCP
10.6.13.3,10.6.13.133,49669,52620,TCP
10.6.13.133,10.6.13.3,52621,389,TCP
10.6.13.3,10.6.13.133,389,52621,TCP
10.6.13.133,10.6.13.3,52622,389,TCP
10.6.13.3,10.6.13.133,389,52622,TCP
10.6.13.133,20.190.157.9,52623,443,TCP
20.190.157.9,10.6.13.133,443,52623,TCP
10.6.13.133,52.167.249.196,52624,443,TCP
52.167.249.196,10.6.13.133,443,52624,TCP
10.6.13.133,52.167.249.196,52625,443,TCP
52.167.249.196,10.6.13.133,443,52625,TCP
10.6.13.133,104.16.230.132,52626,80,TCP
104.16.230.132,10.6.13.133,80,52626,TCP
10.6.13.133,10.6.13.3,52627,445,TCP
10.6.13.3,10.6.13.133,445,52627,TCP
10.6.13.133,104.21.112.1,52628,80,TCP
104.21.112.1,10.6.13.133,80,52628,TCP
10.6.13.133,104.16.230.132,52629,80,TCP
104.16.230.132,10.6.13.133,80,52629,TCP
10.6.13.133,104.16.230.132,52630,80,TCP
104.16.230.132,10.6.13.133,80,52630,TCP
10.6.13.133,104.21.112.1,52631,80,TCP
104.21.112.1,10.6.13.133,80,52631,TCP
10.6.13.133,104.21.112.1,52632,80,TCP
104.21.112.1,10.6.13.133,80,52632,TCP
10.6.13.133,104.16.231.132,52633,80,TCP
104.16.231.132,10.6.13.133,80,52633,TCP
10.6.13.133,10.6.13.3,52634,135,TCP
10.6.13.3,10.6.13.133,135,52634,TCP
10.6.13.133,10.6.13.3,52635,49669,TCP
10.6.13.3,10.6.13.133,49669,52635,TCP
10.6.13.133,10.6.13.3,52636,389,TCP
10.6.13.3,10.6.13.133,389,52636,TCP
10.6.13.133,10.6.13.3,52637,389,TCP
10.6.13.3,10.6.13.133,389,52637,TCP
10.6.13.133,104.21.96.1,52638,80,TCP
104.21.96.1,10.6.13.133,80,52638,TCP
10.6.13.133,104.21.112.1,52639,80,TCP
104.21.112.1,10.6.13.133,80,52639,TCP
